
19:25:36:046116 05/06/2022 | Файл /files_for_netology/Introducing Python.pdf успешно загружен на Я.Диск
19:25:36:812708 05/06/2022 | Связь с сервером установлена
19:25:38:481276 05/06/2022 | Файл /files_for_netology/IPython Notebook Essentials.pdf успешно загружен на Я.Диск
19:25:38:970538 05/06/2022 | Связь с сервером установлена
19:25:40:707663 05/06/2022 | Файл /files_for_netology/Learn to Program with Python.pdf успешно загружен на Я.Диск
19:25:41:288675 05/06/2022 | Связь с сервером установлена
19:25:42:245707 05/06/2022 | Файл /files_for_netology/Learning IPython for Interactive Computing and Data Visualization.pdf успешно загружен на Я.Диск
19:25:42:749152 05/06/2022 | Связь с сервером установлена
19:25:44:085917 05/06/2022 | Файл /files_for_netology/Learning Python Data Visualization.pdf успешно загружен на Я.Диск
19:25:44:778455 05/06/2022 | Связь с сервером установлена
19:25:46:124684 05/06/2022 | Файл /files_for_netology/Learning SciPy for Numerical and Scientific Computing, 2nd Edition.pdf успешно загружен на Я.Диск
19:25:58:320059 05/06/2022 | Связь с сервером установлена
19:25:59:343052 05/06/2022 | Файл /files_for_netology/Beginning Python Games Development, 2nd Edition.pdf успешно загружен на Я.Диск
19:25:59:803341 05/06/2022 | Связь с сервером установлена
19:26:01:705606 05/06/2022 | Файл /files_for_netology/Black Hat Python.pdf успешно загружен на Я.Диск
19:26:02:314697 05/06/2022 | Связь с сервером установлена
19:26:03:527210 05/06/2022 | Файл /files_for_netology/Create Simple GUI Applications with Python and Qt5 (Fitzpatrick).pdf успешно загружен на Я.Диск
19:26:04:420715 05/06/2022 | Связь с сервером установлена
19:26:05:589199 05/06/2022 | Файл /files_for_netology/Creating Apps in Kivy.pdf успешно загружен на Я.Диск
19:26:06:083779 05/06/2022 | Связь с сервером установлена
19:26:07:499993 05/06/2022 | Файл /files_for_netology/Doing Math with Python.pdf успешно загружен на Я.Диск
19:26:08:048320 05/06/2022 | Связь с сервером установлена
19:26:09:064303 05/06/2022 | Файл /files_for_netology/Flask Framework Cookbook.pdf успешно загружен на Я.Диск
19:26:09:583576 05/06/2022 | Связь с сервером установлена
19:26:10:595991 05/06/2022 | Файл /files_for_netology/Foundations of Python Network Programming, 3rd Edition.pdf успешно загружен на Я.Диск
19:26:11:003655 05/06/2022 | Связь с сервером установлена
19:26:12:347658 05/06/2022 | Файл /files_for_netology/Introducing Python.pdf успешно загружен на Я.Диск
19:26:12:736309 05/06/2022 | Связь с сервером установлена
19:26:13:768058 05/06/2022 | Файл /files_for_netology/IPython Notebook Essentials.pdf успешно загружен на Я.Диск
19:26:14:389754 05/06/2022 | Связь с сервером установлена
19:26:16:445065 05/06/2022 | Файл /files_for_netology/Learn to Program with Python.pdf успешно загружен на Я.Диск
19:26:16:959997 05/06/2022 | Связь с сервером установлена
19:26:18:586746 05/06/2022 | Файл /files_for_netology/Learning IPython for Interactive Computing and Data Visualization.pdf успешно загружен на Я.Диск
19:26:18:992032 05/06/2022 | Связь с сервером установлена
19:26:20:245690 05/06/2022 | Файл /files_for_netology/Learning Python Data Visualization.pdf успешно загружен на Я.Диск
19:26:20:787381 05/06/2022 | Связь с сервером установлена
19:26:21:887517 05/06/2022 | Файл /files_for_netology/Learning SciPy for Numerical and Scientific Computing, 2nd Edition.pdf успешно загружен на Я.Диск
19:29:20:762926 05/06/2022 | Связь с сервером установлена
19:29:22:496906 05/06/2022 | Файл /files_for_netology/Beginning Python Games Development, 2nd Edition.pdf успешно загружен на Я.Диск
19:29:23:324838 05/06/2022 | Связь с сервером установлена
19:29:25:581445 05/06/2022 | Файл /files_for_netology/Black Hat Python.pdf успешно загружен на Я.Диск
19:29:26:081006 05/06/2022 | Связь с сервером установлена
19:29:28:462932 05/06/2022 | Файл /files_for_netology/Create Simple GUI Applications with Python and Qt5 (Fitzpatrick).pdf успешно загружен на Я.Диск
19:29:29:060818 05/06/2022 | Связь с сервером установлена
19:29:30:754215 05/06/2022 | Файл /files_for_netology/Creating Apps in Kivy.pdf успешно загружен на Я.Диск
